epoch,loss,out0_acc,out0_loss,out1_acc,out1_loss,out2_acc,out2_loss,out3_acc,out3_loss,val_loss,val_out0_acc,val_out0_loss,val_out1_acc,val_out1_loss,val_out2_acc,val_out2_loss,val_out3_acc,val_out3_loss
0,6.017001152038574,0.6314374804496765,1.3148949146270752,0.5580781102180481,1.6862995624542236,0.5562812685966492,1.6834276914596558,0.6408437490463257,1.3323734998703003,2.025644302368164,0.8871874809265137,0.3664532005786896,0.8181250095367432,0.5928175449371338,0.8181250095367432,0.651562511920929,0.8735937476158142,0.41481077671051025
1,0.6486047506332397,0.9534062743186951,0.1395837664604187,0.939203143119812,0.1844477653503418,0.9386093616485596,0.18486301600933075,0.953000009059906,0.13971032202243805,11.822675704956055,0.5210937261581421,2.8836355209350586,0.4114062488079071,4.007834434509277,0.5381249785423279,2.4886655807495117,0.5489062666893005,2.4425394535064697
2,0.43109601736068726,0.9666093587875366,0.095742367208004,0.9593750238418579,0.1207425519824028,0.9596562385559082,0.11986029893159866,0.9678906202316284,0.09475070238113403,0.535281240940094,0.9685937762260437,0.09819269925355911,0.9496874809265137,0.15522930026054382,0.9478124976158142,0.16634517908096313,0.9634374976158142,0.11551403254270554
3,0.3569625914096832,0.9728124737739563,0.07623426616191864,0.9651250243186951,0.10009313374757767,0.9659218788146973,0.09995554387569427,0.971484363079071,0.08067962527275085,0.5144219994544983,0.9596874713897705,0.11856523156166077,0.9585937261581421,0.12406422942876816,0.9549999833106995,0.14723153412342072,0.9585937261581421,0.12456107139587402
4,0.30896884202957153,0.9756718873977661,0.06772299855947495,0.9702031016349792,0.08465259522199631,0.9696718454360962,0.08709777146577835,0.974859356880188,0.06949533522129059,0.7438732981681824,0.9396874904632568,0.192500501871109,0.9387500286102295,0.2075783610343933,0.94140625,0.1869068145751953,0.9520312547683716,0.1568877100944519
5,0.274361789226532,0.978515625,0.060347143560647964,0.9739375114440918,0.07528913766145706,0.9718124866485596,0.07969972491264343,0.9790156483650208,0.05902574211359024,0.29586148262023926,0.977343738079071,0.06303833425045013,0.9717187285423279,0.07340848445892334,0.9678124785423279,0.09259223192930222,0.9756249785423279,0.06682237982749939
6,0.2544707953929901,0.9795781373977661,0.05556928738951683,0.9749374985694885,0.07099489122629166,0.9743750095367432,0.0719943642616272,0.9800624847412109,0.05591224506497383,0.505683958530426,0.9646875262260437,0.10889887064695358,0.961718738079071,0.11262062937021255,0.9593750238418579,0.1444428414106369,0.9584375023841858,0.13972169160842896
7,0.23659105598926544,0.9804062247276306,0.054599739611148834,0.9768280982971191,0.06401317566633224,0.9771249890327454,0.06468723714351654,0.9813905954360962,0.05329074710607529,0.26959213614463806,0.98046875,0.04663843661546707,0.9710937738418579,0.07449934631586075,0.9723437428474426,0.07560303062200546,0.9739062786102295,0.0728512778878212
8,0.22048889100551605,0.9819218516349792,0.05012545362114906,0.978890597820282,0.05870550870895386,0.9774531126022339,0.06188013777136803,0.9815468788146973,0.04977775737643242,10.603565216064453,0.6146875023841858,2.157249689102173,0.5746874809265137,2.7950527667999268,0.668749988079071,1.7029409408569336,0.48124998807907104,3.9483232498168945
9,0.20808245241641998,0.9840156435966492,0.0454632006585598,0.9796718955039978,0.056083064526319504,0.9782968759536743,0.059970345348119736,0.9833750128746033,0.0465659499168396,12.2186279296875,0.5782812237739563,2.843912363052368,0.5174999833106995,3.2561256885528564,0.6185937523841858,1.938357949256897,0.43281251192092896,4.180231094360352
10,0.2036287933588028,0.9827343821525574,0.046951573342084885,0.9807031154632568,0.05393027141690254,0.9801406264305115,0.05559540539979935,0.9828593730926514,0.04715149849653244,0.2609839141368866,0.9735937714576721,0.07910431176424026,0.9750000238418579,0.06634905189275742,0.9775000214576721,0.06405427306890488,0.9817187786102295,0.05147625133395195
11,0.19394823908805847,0.9845468997955322,0.04217639937996864,0.9811562299728394,0.05254961550235748,0.9794062376022339,0.05641365423798561,0.9834531545639038,0.042808569967746735,0.4381800889968872,0.973437488079071,0.08273015171289444,0.9692187309265137,0.0951431468129158,0.9606249928474426,0.12197871506214142,0.9565625190734863,0.1383281648159027
12,0.18949533998966217,0.984375,0.041175682097673416,0.9817343950271606,0.050726644694805145,0.9806874990463257,0.05374963581562042,0.9839843511581421,0.0438433401286602,1.0164036750793457,0.9279687404632568,0.2845354974269867,0.9225000143051147,0.2991485893726349,0.9398437738418579,0.1975756138563156,0.9315624833106995,0.23514391481876373
13,0.17808520793914795,0.9860312342643738,0.03823157027363777,0.9824844002723694,0.048702988773584366,0.9819843769073486,0.048739153891801834,0.9847187399864197,0.04241153225302696,0.655418336391449,0.9517187476158142,0.18008680641651154,0.9574999809265137,0.14232087135314941,0.9535937309265137,0.16101112961769104,0.9543750286102295,0.17199966311454773
14,0.13666774332523346,0.9886875152587891,0.031142251566052437,0.9859687685966492,0.037647098302841187,0.9864062666893005,0.0376378670334816,0.988937497138977,0.030240526422858238,0.11897784471511841,0.98828125,0.02771989069879055,0.98828125,0.031148064881563187,0.9868749976158142,0.03333335742354393,0.9915624856948853,0.026776527985930443
15,0.1163569912314415,0.9901406168937683,0.0257817804813385,0.988031268119812,0.03259280323982239,0.9877031445503235,0.03331911191344261,0.9906562566757202,0.024663256481289864,0.11401984095573425,0.9906250238418579,0.022971970960497856,0.9892187714576721,0.03340945392847061,0.9860937595367432,0.03488757088780403,0.9906250238418579,0.022750835865736008
16,0.11002861708402634,0.990234375,0.024271832779049873,0.989062488079071,0.029910858720541,0.9884218573570251,0.03094702586531639,0.9906406402587891,0.02489890530705452,0.10254975408315659,0.9876562356948853,0.030398212373256683,0.9903125166893005,0.027166035026311874,0.9893749952316284,0.02457357384264469,0.992968738079071,0.020411930978298187
17,0.105707086622715,0.9907500147819519,0.024360844865441322,0.9891562461853027,0.028821753337979317,0.9888749718666077,0.029264910146594048,0.9912499785423279,0.023259663954377174,0.09994810819625854,0.9909374713897705,0.020726311951875687,0.9896875023841858,0.027836976572871208,0.9906250238418579,0.024903802201151848,0.9901562333106995,0.02648097276687622
18,0.1017618477344513,0.9915781021118164,0.02149207890033722,0.9893125295639038,0.027578989043831825,0.9890468716621399,0.02898981049656868,0.9911249876022339,0.023700973019003868,0.09623841941356659,0.9920312762260437,0.021806620061397552,0.9903125166893005,0.02428390085697174,0.9893749952316284,0.02932901121675968,0.9910937547683716,0.020818891003727913
19,0.10410115867853165,0.9908593893051147,0.02452215552330017,0.9891250133514404,0.028054840862751007,0.9888593554496765,0.029050210490822792,0.9911249876022339,0.022473854944109917,0.10865466296672821,0.9893749952316284,0.022151745855808258,0.9885937571525574,0.03103446029126644,0.9898437261581421,0.02767573669552803,0.9887499809265137,0.027792733162641525
