epoch,loss,out0_acc,out0_loss,out1_acc,out1_loss,out2_acc,out2_loss,out3_acc,out3_loss,val_loss,val_out0_acc,val_out0_loss,val_out1_acc,val_out1_loss,val_out2_acc,val_out2_loss,val_out3_acc,val_out3_loss
0,7.290559768676758,0.705546498298645,1.2388259172439575,0.45507749915122986,2.142632246017456,0.4487968981266022,2.1497042179107666,0.538030207157135,1.7594000101089478,31.524768829345703,0.03440320864319801,14.250494956970215,0.08154463022947311,6.427251815795898,0.09779337793588638,6.520164966583252,0.12196590006351471,4.326858043670654
1,1.6078224182128906,0.8586459755897522,0.7253275513648987,0.9040171504020691,0.33484363555908203,0.9129893779754639,0.3111339211463928,0.9296696782112122,0.2365187555551529,6.838863372802734,0.24593780934810638,5.921601295471191,0.8684052228927612,0.409945547580719,0.9179538488388062,0.27254605293273926,0.9224674105644226,0.23476849496364594
2,0.7593986392021179,0.9424551129341125,0.24056535959243774,0.9422715902328491,0.19003470242023468,0.946247935295105,0.179268479347229,0.9537724256515503,0.14953064918518066,4.994820594787598,0.46178534626960754,3.0919413566589355,0.8099297881126404,0.7027042508125305,0.8364092111587524,0.6122552156448364,0.8517552614212036,0.5879172682762146
3,0.4990963637828827,0.9644779562950134,0.1438370794057846,0.9598695039749146,0.1273355484008789,0.9608482718467712,0.11957612633705139,0.9651712775230408,0.10834728181362152,1.9211901426315308,0.6457372307777405,1.4028431177139282,0.9363089203834534,0.20964796841144562,0.9458374977111816,0.1791585236787796,0.9599799513816833,0.12953975796699524
4,0.35939520597457886,0.9733278751373291,0.10170984268188477,0.9703507423400879,0.08960331976413727,0.9706770181655884,0.08742188662290573,0.9715538620948792,0.0806599035859108,1.9157055616378784,0.6890671849250793,1.1651157140731812,0.9148445129394531,0.29400691390037537,0.9287863373756409,0.2538747489452362,0.9437311887741089,0.20270828902721405
5,0.2581319212913513,0.9807299971580505,0.07097627967596054,0.9790579080581665,0.06258848309516907,0.9782626628875732,0.06263227760791779,0.9770187735557556,0.061934877187013626,1.7951714992523193,0.6933801174163818,1.2631490230560303,0.9392176270484924,0.2000523805618286,0.944232702255249,0.18695081770420074,0.9555667042732239,0.14502018690109253
6,0.19377769529819489,0.9852365255355835,0.0539565309882164,0.9835644364356995,0.04815802723169327,0.984013020992279,0.046942684799432755,0.9839314818382263,0.04472045972943306,1.469102382659912,0.7961885929107666,0.8193750977516174,0.9313941597938538,0.23645490407943726,0.9383149743080139,0.21727144718170166,0.9462386965751648,0.1960005760192871
7,0.14033108949661255,0.9894983768463135,0.03825043886899948,0.9890089631080627,0.03382641822099686,0.9885603785514832,0.03447530418634415,0.9888050556182861,0.033778879791498184,1.5016897916793823,0.7807422280311584,0.9190681576728821,0.9397191405296326,0.22889229655265808,0.9463390111923218,0.20285992324352264,0.9602808356285095,0.15086953341960907
8,0.10517890751361847,0.9932708144187927,0.026404695585370064,0.9919453263282776,0.02729199267923832,0.9915375113487244,0.026112381368875504,0.9917210340499878,0.02536986768245697,1.4262670278549194,0.7994984984397888,0.8897849917411804,0.9483450055122375,0.1872466802597046,0.9508525729179382,0.1902720332145691,0.9578736424446106,0.15896297991275787
9,0.0795065388083458,0.9946370124816895,0.02092062681913376,0.9945350885391235,0.018931984901428223,0.9932708144187927,0.020715326070785522,0.9942291975021362,0.018938561901450157,1.1070911884307861,0.8339017033576965,0.6842914819717407,0.9609829783439636,0.15179678797721863,0.9617853760719299,0.1481643170118332,0.9683049321174622,0.12283937633037567
10,0.06194249913096428,0.9962683320045471,0.016196148470044136,0.9954730868339539,0.015349271707236767,0.995493471622467,0.016180355101823807,0.9956566095352173,0.014216747134923935,4.81667947769165,0.6900702118873596,1.7435855865478516,0.7988966703414917,1.0146825313568115,0.83530592918396,0.7604430317878723,0.788064181804657,1.2979650497436523
11,0.05358355864882469,0.996635377407074,0.013475826941430569,0.9957993626594543,0.014122930355370045,0.9962275624275208,0.013086668215692043,0.9965130686759949,0.012898137792944908,0.9119881987571716,0.885356068611145,0.45680421590805054,0.9573721289634705,0.16854478418827057,0.9618856310844421,0.15572859346866608,0.9686058163642883,0.13091053068637848
12,0.04633261263370514,0.9978384971618652,0.01080198585987091,0.9963703155517578,0.011919793672859669,0.9968189001083374,0.011988598853349686,0.9969004988670349,0.011622247286140919,0.8660911321640015,0.8995987772941589,0.43041619658470154,0.964894711971283,0.14430376887321472,0.9636910557746887,0.16103748977184296,0.9712136387825012,0.13033364713191986
13,0.031392015516757965,0.9981240034103394,0.008118782192468643,0.9979812502861023,0.00781022384762764,0.998062789440155,0.007710404694080353,0.9980424046516418,0.007752597332000732,0.7569408416748047,0.9346038103103638,0.32390639185905457,0.9605817198753357,0.1607411503791809,0.967803418636322,0.14395909011363983,0.9714142680168152,0.12833458185195923
14,0.031595584005117416,0.9983686804771423,0.007338641677051783,0.9975734353065491,0.008249899372458458,0.9975529909133911,0.00875515304505825,0.9980016350746155,0.007251891773194075,1.1797740459442139,0.9278836250305176,0.32704392075538635,0.941023051738739,0.24130599200725555,0.9312939047813416,0.3058876693248749,0.9337010979652405,0.3055361211299896
15,0.02762138843536377,0.9986133575439453,0.006493533030152321,0.9981647729873657,0.007209369447082281,0.998062789440155,0.006811442319303751,0.998062789440155,0.007107072044163942,0.9257378578186035,0.912136435508728,0.4509246051311493,0.9587763547897339,0.17334586381912231,0.9643931984901428,0.15905524790287018,0.9687061309814453,0.14241251349449158
16,0.023765673860907555,0.9985318183898926,0.006399264093488455,0.998470664024353,0.005963381379842758,0.9984298348426819,0.005872298497706652,0.9984094500541687,0.005530739668756723,0.6687130928039551,0.9440320730209351,0.24894605576992035,0.9662988781929016,0.14272388815879822,0.9701103568077087,0.1391899436712265,0.9721163511276245,0.13785342872142792
17,0.016263829544186592,0.9994290471076965,0.004073452204465866,0.9990416169166565,0.004176698159426451,0.9990620017051697,0.0037866090424358845,0.9989396333694458,0.00422707898542285,0.7120729088783264,0.9481444358825684,0.29182350635528564,0.9654964804649353,0.14742876589298248,0.9692076444625854,0.13963083922863007,0.9716148376464844,0.13318964838981628
18,0.012917907908558846,0.9996533393859863,0.0029474401380866766,0.999367892742157,0.002956289565190673,0.9990212321281433,0.00364322098903358,0.9992251396179199,0.0033709558192640543,0.7388995885848999,0.9472417235374451,0.2357816845178604,0.9628886580467224,0.16364814341068268,0.9670010209083557,0.1720271110534668,0.9673019051551819,0.16744263470172882
19,0.010759594850242138,0.9997349381446838,0.0019546763505786657,0.9993882775306702,0.0025454869028180838,0.9992251396179199,0.0034243077971041203,0.9994086623191833,0.0028351275250315666,0.5912618637084961,0.9609829783439636,0.20020194351673126,0.9692076444625854,0.13198553025722504,0.9711133241653442,0.1327623873949051,0.9735205769538879,0.12631191313266754
20,0.010387169197201729,0.999367892742157,0.002893182449042797,0.9995514154434204,0.00213714805431664,0.999367892742157,0.002803714480251074,0.9995514154434204,0.002553117461502552,0.6462372541427612,0.9566699862480164,0.19311386346817017,0.9624874591827393,0.16332702338695526,0.9685055017471313,0.1462923139333725,0.9726178646087646,0.14350421726703644
21,0.006684755906462669,0.999755322933197,0.0017240382730960846,0.9996533393859863,0.001740209641866386,0.9996329545974731,0.001962978858500719,0.9998572468757629,0.0012575325090438128,0.629540741443634,0.9626880884170532,0.26151159405708313,0.9716148376464844,0.12508293986320496,0.9725175499916077,0.1233544871211052,0.97632896900177,0.11959181725978851
22,0.005521056707948446,0.9995105862617493,0.0020292436238378286,0.9998980164527893,0.0008913393248803914,0.9998572468757629,0.0008617233252152801,0.9997757077217102,0.0017387508414685726,3.8880536556243896,0.81484454870224,0.97632896900177,0.835004985332489,0.9333078265190125,0.8433299660682678,0.8276410102844238,0.8066198825836182,1.1507763862609863
